kreisstadt157,mosbach,157,49.353889,9.142778,11525,BY
kreisstadt158,neu-ulm,158,48.4,10.016667,348871,BY
kreisstadt159,neuburg an der donau,159,48.733333,11.183333,143535,BW
kreisstadt160,stadt neumarkt in der oberpfalz,160,49.280278,11.462778,1742,BY
kreisstadt161,ottweiler,161,49.383333,7.166667,9668,BY
kreisstadt162,neustadt an der aisch,162,49.583333,10.6,133561,BY
kreisstadt163,neustadt an der waldnaab,163,49.731389,12.173333,132206,SL
kreisstadt164,neuwied,164,50.433333,7.466667,100364,BY
kreisstadt165,nienburg,165,52.633333,9.216667,94352,BY
kreisstadt166,husum,166,54.466667,9.05,181941,RP
kreisstadt167,nordhausen,167,51.516667,10.8,121386,NI
kreisstadt168,torgau,168,51.566667,13.0,165507,SH
kreisstadt169,wismar,169,53.9,11.466667,83822,TH
kreisstadt170,northeim,170,51.7,10.0,197673,SN
kreisstadt171,lauf an der pegnitz,171,49.510278,11.2775,156729,MV
kreisstadt172,sonthofen,172,47.516667,10.283333,132765,NI
kreisstadt173,gummersbach,173,51.033333,7.55,170365,BY
kreisstadt174,oranienburg,174,52.75,13.233333,155362,BY
kreisstadt175,senftenberg,175,51.516667,14.016667,272471,NW
kreisstadt176,erbach,176,49.656111,8.996389,211249,BB
kreisstadt177,beeskow,177,52.166667,14.25,110476,BB
kreisstadt178,dietzenbach,178,50.016667,8.783333,96798,HE
kreisstadt179,wildeshausen,179,52.9,8.433333,178658,BB
kreisstadt180,olpe,180,51.033333,7.85,354092,HE
kreisstadt181,offenburg,181,48.483333,7.933333,130144,NI
kreisstadt182,osnabruck,182,52.266667,8.05,134775,NW
kreisstadt183,aalen,183,48.833333,10.1,429479,BW
kreisstadt184,marktoberdorf,184,47.783333,10.616667,357343,NI
kreisstadt185,osterholz-scharmbeck,185,53.233333,8.8,314002,BW
kreisstadt186,eutin,186,54.133333,10.616667,140316,BY
kreisstadt187,neuruppin,187,52.933333,12.8,113517,NI
kreisstadt188,paderborn,188,51.716667,8.766667,200581,SH
kreisstadt189,passau,189,48.583333,13.483333,99078,BB
kreisstadt190,peine,190,52.316667,10.233333,30689,NW
kreisstadt191,pfaffenhofen an der ilm,191,48.533333,11.516667,192043,BY
kreisstadt192,elmshorn,192,53.75,9.65,133965,NI
kreisstadt193,plon,193,54.166667,10.416667,127151,BY
kreisstadt194,perleberg,194,53.066667,11.866667,314391,SH
kreisstadt195,rastatt,195,48.85,8.2,128647,SH
kreisstadt196,ravensburg,196,47.783333,9.616667,214664,BB
kreisstadt197,recklinghausen,197,51.616667,7.2,76508,BB
kreisstadt198,regenstauf,198,49.121667,12.129167,231018,BW
kreisstadt199,regensburg,199,49.015,12.095556,284285,BW
kreisstadt200,waiblingen,200,48.833333,9.3,615261,NW
kreisstadt201,rendsburg,201,54.3,9.666667,77656,BY
kreisstadt202,reutlingen,202,48.483333,9.216667,193572,BY
kreisstadt203,bergheim,203,50.966667,6.65,426158,BW
kreisstadt204,bad schwalbach,204,50.133333,8.066667,272775,SH
kreisstadt205,simmern,205,49.983333,7.516667,286748,BW
kreisstadt206,bergisch gladbach,206,50.983333,7.133333,470089,NW
kreisstadt207,neuss,207,51.2,6.683333,187157,HE
kreisstadt208,bad ems,208,50.333333,7.716667,102937,RP
